identifiant,Prénom,Nom,Département,Numéro de circonscription,Groupe politique (complet)
794466,Jean,Moulliere,Nord,6,Horizons & Indépendants
720908,Naïma,Moutchou,Val-d'Oise,4,Horizons & Indépendants
793696,Serge,Muller,Dordogne,2,Rassemblement National
793354,Joëlle,Mélin,Bouches-du-Rhône,9,Rassemblement National
795786,Yaël,Ménaché,Somme,5,Rassemblement National
794322,Thomas,Ménagé,Loiret,4,Rassemblement National
795820,Marcellin,Nadeau,Martinique,2,Gauche Démocrate et Républicaine
721486,Christophe,Naegelen,Vosges,3,"Libertés, Indépendants, Outre-mer et Territoires"
643157,Philippe,Naillet,Réunion,1,Socialistes et apparentés
610654,Jean-Philippe,Nilor,Martinique,4,La France insoumise - Nouveau Front Populaire
841191,Sandrine,Nosbé,Isère,9,La France insoumise - Nouveau Front Populaire
720644,Jérôme,Nury,Orne,3,Droite Républicaine
841107,Jacques,Oberti,Haute-Garonne,10,Socialistes et apparentés
721960,Danièle,Obono,Paris,17,La France insoumise - Nouveau Front Populaire
795552,Julien,Odoul,Yonne,3,Rassemblement National
795722,Karl,Olive,Yvelines,12,Ensemble pour la République
794830,Hubert,Ott,Haut-Rhin,2,Les Démocrates
842045,Julie,Ozenne,Essonne,9,Écologiste et Social
793872,Nathalie,Oziol,Hérault,2,La France insoumise - Nouveau Front Populaire
720334,Jimmy,Pahun,Morbihan,2,Les Démocrates
793210,Laurent,Panifous,Ariège,2,"Libertés, Indépendants, Outre-mer et Territoires"
719632,Sophie,Panonacle,Gironde,8,Ensemble pour la République
720892,Mathilde,Panot,Val-de-Marne,10,La France insoumise - Nouveau Front Populaire
841381,Sophie,Pantel,Lozère,1,Socialistes et apparentés
794670,Caroline,Parmentier,Pas-de-Calais,9,Rassemblement National
793398,Jérémie,Patrier-Leitus,Calvados,3,Horizons & Indépendants
718784,Éric,Pauget,Alpes-Maritimes,7,Droite Républicaine
840793,Marc,Pena,Bouches-du-Rhône,11,Socialistes et apparentés
841199,Thierry,Perez,Isère,10,Rassemblement National
721442,Christelle,Petex,Haute-Savoie,3,Droite Républicaine
721182,Frédéric,Petit,Français établis hors de France,7,Les Démocrates
721234,Maud,Petit,Val-de-Marne,4,Les Démocrates
721270,Stéphane,Peu,Seine-Saint-Denis,2,Gauche Démocrate et Républicaine
793708,Sébastien,Peytavie,Dordogne,4,Écologiste et Social
794582,Kévin,Pfeffer,Moselle,6,Rassemblement National
794270,Anna,Pic,Manche,4,Socialistes et apparentés
817211,René,Pilato,Charente,1,La France insoumise - Nouveau Front Populaire
793756,François,Piquemal,Haute-Garonne,4,La France insoumise - Nouveau Front Populaire
721844,Béatrice,Piron,Yvelines,3,Horizons & Indépendants
608172,Christine,Pirès Beaune,Puy-de-Dôme,2,Socialistes et apparentés
793572,Christophe,Plassard,Charente-Maritime,5,Horizons & Indépendants
793664,Marie,Pochon,Drôme,3,Écologiste et Social
793656,Lisette,Pollet,Drôme,2,Rassemblement National
719528,Jean-François,Portarrieu,Haute-Garonne,5,Horizons & Indépendants
796062,Thomas,Portes,Seine-Saint-Denis,3,La France insoumise - Nouveau Front Populaire
794994,Alexandre,Portier,Rhône,9,Droite Républicaine
607553,Dominique,Potier,Meurthe-et-Moselle,5,Socialistes et apparentés
720720,Josy,Poueyto,Pyrénées-Atlantiques,1,Les Démocrates
795270,Marie-Agnès,Poussier-Winsback,Seine-Maritime,9,Horizons & Indépendants
721916,Natalia,Pouzyreff,Yvelines,6,Ensemble pour la République
720100,Aurélien,Pradié,Lot,1,Non inscrit
840955,Pierre,Pribetich,Côte-d'Or,3,Socialistes et apparentés
841367,Christophe,Proença,Lot,2,Socialistes et apparentés
719578,Loïc,Prud'homme,Gironde,3,La France insoumise - Nouveau Front Populaire
795966,Stéphane,Rambaud,Var,3,Rassemblement National
720092,Richard,Ramos,Loiret,6,Les Démocrates
793230,Angélique,Ranc,Aube,3,Rassemblement National
793254,Julien,Rancoule,Aude,3,Rassemblement National
721062,Jean-Hugues,Ratenon,Réunion,5,La France insoumise - Nouveau Front Populaire
720552,Isabelle,Rauch,Moselle,9,Horizons & Indépendants
794154,Jean-Claude,Raux,Loire-Atlantique,6,Écologiste et Social
793094,Nicolas,Ray,Allier,3,Droite Républicaine
794778,Sandra,Regol,Bas-Rhin,1,Écologiste et Social
795240,Mereana,Reid Arbelot,Polynésie Française,3,Gauche Démocrate et Républicaine
841955,Matthias,Renault,Somme,3,Rassemblement National
840657,Sophie,Ricourt Vaginay,Alpes-de-Haute-Provence,2,Union des droites pour la République
335758,Franck,Riester,Seine-et-Marne,5,Ensemble pour la République
795876,Davy,Rimane,Guyane,2,Gauche Démocrate et Républicaine
841981,Catherine,Rimbert,Vaucluse,5,Rassemblement National
721426,Véronique,Riotton,Haute-Savoie,1,Ensemble pour la République
720066,Stéphanie,Rist,Loiret,1,Ensemble pour la République
842227,Joseph,Rivière,Réunion,3,Rassemblement National
722252,Marie-Pierre,Rixain,Essonne,4,Ensemble pour la République
794442,Laurence,Robert-Dehault,Haute-Marne,2,Rassemblement National
795528,Charles,Rodwell,Yvelines,1,Ensemble pour la République
266808,Vincent,Rolland,Savoie,2,Droite Républicaine
841927,Anne-Sophie,Ronceret,Yvelines,10,Ensemble pour la République
721458,Xavier,Roseren,Haute-Savoie,6,Horizons & Indépendants
840673,Valérie,Rossi,Hautes-Alpes,2,Socialistes et apparentés
342196,Claudia,Rouaux,Ille-et-Vilaine,3,Socialistes et apparentés
795410,Béatrice,Roullaud,Seine-et-Marne,6,Rassemblement National
606545,Jean-Louis,Roumégas,Hérault,1,Écologiste et Social
795076,Sandrine,Rousseau,Paris,9,Écologiste et Social
826635,Aurélien,Rousseau,Yvelines,7,Socialistes et apparentés
841327,Fabrice,Roussel,Loire-Atlantique,5,Socialistes et apparentés
795888,Marie-Ange,Rousselot,Français établis hors de France,6,Ensemble pour la République
793270,Jean-François,Rousset,Aveyron,3,Ensemble pour la République
842097,Sophie-Laurence,Roy,Yonne,2,Rassemblement National
722142,François,Ruffin,Somme,1,Écologiste et Social
841717,Sandrine,Runel,Rhône,4,Socialistes et apparentés
341981,Marie,Récalde,Gironde,6,Socialistes et apparentés
794894,Anaïs,Sabatini,Pyrénées-Orientales,2,Rassemblement National
794570,Alexandre,Sabatou,Oise,3,Rassemblement National
841845,Arnaud,Saint-Martin,Seine-et-Marne,1,La France insoumise - Nouveau Front Populaire
841243,Sébastien,Saint-Pasteur,Gironde,7,Socialistes et apparentés
720138,Laetitia,Saint-Paul,Maine-et-Loire,4,Horizons & Indépendants
795982,Aurélien,Saintoul,Hauts-de-Seine,11,La France insoumise - Nouveau Front Populaire
794954,Emeric,Salmon,Haute-Saône,2,Rassemblement National
721110,Nicole,Sanquer,Polynésie Française,2,"Libertés, Indépendants, Outre-mer et Territoires"
605745,Nicolas,Sansu,Cher,2,Gauche Démocrate et Républicaine
774960,Isabelle,Santiago,Val-de-Marne,9,Socialistes et apparentés
610002,Eva,Sas,Paris,8,Écologiste et Social
340343,Hervé,Saulignac,Ardèche,1,Socialistes et apparentés
721314,Raphaël,Schellenberger,Haut-Rhin,4,Non inscrit
796050,Philippe,Schreck,Var,8,Rassemblement National
795808,Sabrina,Sebaihi,Hauts-de-Seine,4,Écologiste et Social
757225,Mikaele,Seo,Wallis-et-Futuna,1,Ensemble pour la République
793416,Freddy,Sertin,Calvados,6,Ensemble pour la République
720960,Olivier,Serva,Guadeloupe,1,"Libertés, Indépendants, Outre-mer et Territoires"
842255,Anne,Sicard,Val-d'Oise,1,Rassemblement National
841091,Arnaud,Simion,Haute-Garonne,6,Socialistes et apparentés
796018,Danielle,Simonnet,Paris,15,Écologiste et Social
794802,Charles,Sitzenstuhl,Bas-Rhin,5,Ensemble pour la République
720190,Bertrand,Sorre,Manche,2,Ensemble pour la République
841681,Thierry,Sother,Bas-Rhin,3,Socialistes et apparentés
795466,Ersilia,Soudais,Seine-et-Marne,7,La France insoumise - Nouveau Front Populaire
794486,Violette,Spillebout,Nord,9,Ensemble pour la République
793744,Anne,Stambach-Terrenoir,Haute-Garonne,2,La France insoumise - Nouveau Front Populaire
267794,Michèle,Tabarot,Alpes-Maritimes,9,Droite Républicaine
793382,Emmanuel,Taché,Bouches-du-Rhône,16,Rassemblement National
720952,Aurélien,Taché,Val-d'Oise,10,La France insoumise - Nouveau Front Populaire
736201,Sophie,Taillé-Polian,Val-de-Marne,11,Écologiste et Social
794178,Jean-Pierre,Taite,Loire,6,Droite Républicaine
719550,Liliana,Tanguy,Finistère,7,Ensemble pour la République
795778,Jean-Philippe,Tanguy,Somme,4,Rassemblement National
793796,David,Taupiac,Gers,2,"Libertés, Indépendants, Outre-mer et Territoires"
794106,Andrée,Taurinya,Loire,2,La France insoumise - Nouveau Front Populaire
794166,Matthias,Tavel,Loire-Atlantique,8,La France insoumise - Nouveau Front Populaire
794502,Michaël,Taverne,Nord,12,Rassemblement National
841713,Boris,Tavernier,Rhône,2,Écologiste et Social
721584,Jean,Terlier,Tarn,3,Ensemble pour la République
841553,Thierry,Tesson,Nord,17,Rassemblement National
795920,Prisca,Thevenot,Hauts-de-Seine,8,Ensemble pour la République
793948,Nicolas,Thierry,Gironde,2,Écologiste et Social
719822,Sabine,Thillaye,Indre-et-Loire,5,Les Démocrates
841893,Céline,Thiébault-Martinez,Seine-et-Marne,9,Socialistes et apparentés
722336,Vincent,Thiébaut,Bas-Rhin,9,Horizons & Indépendants
643089,Jean-Louis,Thiériot,Seine-et-Marne,3,Droite Républicaine
793816,Mélanie,Thomin,Finistère,6,Socialistes et apparentés
793298,Lionel,Tivoli,Alpes-Maritimes,2,Rassemblement National
842299,Emmanuel,Tjibaou,Nouvelle-Calédonie,2,Gauche Démocrate et Républicaine
840781,Romain,Tonussi,Bouches-du-Rhône,8,Rassemblement National
607395,Stéphane,Travert,Manche,3,Ensemble pour la République
795164,Aurélie,Trouvé,Seine-Saint-Denis,9,La France insoumise - Nouveau Front Populaire
840685,Vincent,Trébuchet,Ardèche,2,Union des droites pour la République
722162,Nicolas,Turquois,Vienne,4,Les Démocrates
719930,Boris,Vallaud,Landes,3,Socialistes et apparentés
795350,Frédéric,Valletoux,Seine-et-Marne,2,Horizons & Indépendants
795596,Paul,Vannier,Val-d'Oise,5,La France insoumise - Nouveau Front Populaire
794118,Antoine,Vermorel-Marques,Loire,5,Droite Républicaine
840809,Gérault,Verny,Bouches-du-Rhône,14,Union des droites pour la République
794494,Roger,Vicot,Nord,11,Socialistes et apparentés
722102,Annie,Vidal,Seine-Maritime,2,Ensemble pour la République
331582,Philippe,Vigier,Eure-et-Loir,4,Les Démocrates
607090,Jean-Pierre,Vigier,Haute-Loire,2,Droite Républicaine
719512,Corinne,Vignon,Haute-Garonne,3,Ensemble pour la République
794946,Antoine,Villedieu,Haute-Saône,1,Rassemblement National
795026,Anne-Cécile,Violland,Haute-Savoie,5,Horizons & Indépendants
721474,Stéphane,Viry,Vosges,1,"Libertés, Indépendants, Outre-mer et Territoires"
841575,Frédéric-Pierre,Vos,Oise,5,Rassemblement National
2940,Dominique,Voynet,Doubs,2,Écologiste et Social
793194,Lionel,Vuibert,Ardennes,1,Non inscrit
2952,Jean-Luc,Warsmann,Ardennes,3,"Libertés, Indépendants, Outre-mer et Territoires"
267285,Laurent,Wauquiez,Haute-Loire,1,Droite Républicaine
841479,Frédéric,Weber,Meurthe-et-Moselle,3,Rassemblement National
720992,Jiovanny,William,Martinique,1,Socialistes et apparentés
2960,Éric,Woerth,Oise,4,Ensemble pour la République
795046,Caroline,Yadan,Français établis hors de France,8,Ensemble pour la République
796078,Estelle,Youssouffa,Mayotte,1,"Libertés, Indépendants, Outre-mer et Territoires"
942,Charles,de Courson,Marne,5,"Libertés, Indépendants, Outre-mer et Territoires"
841613,Marc,de Fleurian,Pas-de-Calais,7,Rassemblement National
642988,Hervé,de Lépinau,Vaucluse,3,Rassemblement National
842141,Élisabeth,de Maistre,Hauts-de-Seine,9,Droite Républicaine
841359,Constance,de Pélichy,Loiret,3,"Libertés, Indépendants, Outre-mer et Territoires"
