identifiant,Prénom,Nom,Département,Numéro de circonscription,Groupe politique (complet)
795990,Maud,Bregeon,Hauts-de-Seine,13,Ensemble pour la République
330008,Xavier,Breton,Ain,1,Droite Républicaine
793508,Hubert,Brigand,Côte-d'Or,4,Droite Républicaine
721336,Blandine,Brocard,Rhône,5,Les Démocrates
794330,Anthony,Brosse,Loiret,5,Ensemble pour la République
794710,Julien,Brugerolles,Puy-de-Dôme,5,Gauche Démocrate et Républicaine
719890,Danielle,Brulebois,Jura,1,Ensemble pour la République
718838,Fabrice,Brun,Ardèche,3,Droite Républicaine
793624,Philippe,Brun,Eure,4,Socialistes et apparentés
840817,Joël,Bruneau,Calvados,1,"Libertés, Indépendants, Outre-mer et Territoires"
722000,Stéphane,Buchou,Vendée,3,Ensemble pour la République
794798,Françoise,Buffet,Bas-Rhin,4,Ensemble pour la République
793134,Jérôme,Buisson,Ain,4,Rassemblement National
796106,Édouard,Bénard,Seine-Maritime,3,Gauche Démocrate et Républicaine
841023,Pierre-Yves,Cadalen,Finistère,2,La France insoumise - Nouveau Front Populaire
795762,Elie,Califer,Guadeloupe,4,Socialistes et apparentés
721750,Céline,Calvez,Hauts-de-Seine,5,Ensemble pour la République
608264,Colette,Capdevielle,Pyrénées-Atlantiques,5,Socialistes et apparentés
795330,Eléonore,Caroit,Français établis hors de France,2,Ensemble pour la République
796090,Aymeric,Caron,Paris,18,La France insoumise - Nouveau Front Populaire
793912,Sylvain,Carrière,Hérault,8,La France insoumise - Nouveau Front Populaire
719138,Michel,Castellani,Haute-Corse,1,"Libertés, Indépendants, Outre-mer et Territoires"
840075,Eddy,Casterman,Aisne,3,Rassemblement National
794554,Salvatore,Castiglione,Nord,21,"Libertés, Indépendants, Outre-mer et Territoires"
795868,Jean-Victor,Castor,Guyane,1,Gauche Démocrate et Républicaine
842187,Gabrielle,Cathala,Val-d'Oise,6,La France insoumise - Nouveau Front Populaire
842311,Vincent,Caure,Français établis hors de France,3,Ensemble pour la République
719922,Lionel,Causse,Landes,2,Ensemble pour la République
793940,Thomas,Cazenave,Gironde,1,Ensemble pour la République
719472,Jean-René,Cazeneuve,Gers,1,Ensemble pour la République
795864,Pierre,Cazeneuve,Hauts-de-Seine,7,Ensemble pour la République
841047,François-Xavier,Ceccoli,Haute-Corse,2,Droite Républicaine
842037,Bérenger,Cernon,Essonne,8,La France insoumise - Nouveau Front Populaire
840701,Bernard,Chaix,Alpes-Maritimes,3,Union des droites pour la République
794008,Cyrielle,Chatelain,Isère,2,Écologiste et Social
840721,Marc,Chavent,Ain,5,Union des droites pour la République
795908,Yannick,Chenevard,Var,1,Ensemble pour la République
720468,Sébastien,Chenu,Nord,19,Rassemblement National
791812,Sophia,Chikirou,Paris,6,La France insoumise - Nouveau Front Populaire
642868,Paul,Christophe,Nord,14,Horizons & Indépendants
840903,Paul,Christophle,Drôme,1,Socialistes et apparentés
794198,Roger,Chudeau,Loir-et-Cher,2,Rassemblement National
330240,Éric,Ciotti,Alpes-Maritimes,1,Union des droites pour la République
840159,Bruno,Clavet,Pas-de-Calais,3,Rassemblement National
793736,Hadrien,Clouet,Haute-Garonne,1,La France insoumise - Nouveau Front Populaire
841431,Nathalie,Colin-Oesterlé,Moselle,3,Horizons & Indépendants
719286,Paul-André,Colombani,Corse-du-Sud,2,"Libertés, Indépendants, Outre-mer et Territoires"
793548,Caroline,Colombier,Charente,3,Rassemblement National
721202,Éric,Coquerel,Seine-Saint-Denis,1,La France insoumise - Nouveau Front Populaire
721210,Alexis,Corbière,Seine-Saint-Denis,7,Écologiste et Social
718850,Pierre,Cordier,Ardennes,2,Droite Républicaine
719118,François,Cormier-Bouligeon,Cher,1,Ensemble pour la République
722390,Josiane,Corneloup,Saône-et-Loire,2,Droite Républicaine
793520,Mickaël,Cosson,Côtes-d'Armor,1,Les Démocrates
795136,Jean-François,Coulomme,Savoie,4,La France insoumise - Nouveau Front Populaire
841295,Pierrick,Courbon,Loire,1,Socialistes et apparentés
793716,Laurent,Croizier,Doubs,1,Les Démocrates
793322,Christelle,D'Intorni,Alpes-Maritimes,5,Union des droites pour la République
795644,Nathalie,Da Conceicao Carvalho,Essonne,2,Rassemblement National
332523,Marie-Christine,Dalloz,Jura,2,Droite Républicaine
719914,Geneviève,Darrieussecq,Landes,1,Les Démocrates
793122,Romain,Daubié,Ain,2,Les Démocrates
793452,Hendrik,Davi,Bouches-du-Rhône,5,Écologiste et Social
1008,Alain,David,Gironde,4,Socialistes et apparentés
840119,Sandra,Delannoy,Nord,3,Rassemblement National
793394,Arthur,Delaporte,Calvados,2,Socialistes et apparentés
795430,Stéphane,Delautrette,Haute-Vienne,2,Socialistes et apparentés
793464,Sébastien,Delogu,Bouches-du-Rhône,7,La France insoumise - Nouveau Front Populaire
794982,Julie,Delpech,Sarthe,1,Ensemble pour la République
330909,Vincent,Descoeur,Cantal,1,Droite Républicaine
793166,Jocelyn,Dessigny,Aisne,5,Rassemblement National
794042,Sylvie,Dezarnaud,Isère,7,Droite Républicaine
720386,Fabien,Di Filippo,Moselle,4,Droite Républicaine
793928,Edwige,Diaz,Gironde,11,Rassemblement National
841919,Dieynaba,Diop,Yvelines,9,Socialistes et apparentés
842155,Aly,Diouara,Seine-Saint-Denis,5,La France insoumise - Nouveau Front Populaire
722382,Benjamin,Dirx,Saône-et-Loire,1,Ensemble pour la République
712015,Julien,Dive,Aisne,2,Droite Républicaine
794762,Sandrine,Dogor-Such,Pyrénées-Orientales,3,Rassemblement National
606573,Fanny,Dombre Coste,Hérault,3,Socialistes et apparentés
793146,Nicolas,Dragon,Aisne,1,Rassemblement National
720154,Nicole,Dubré-Chirat,Maine-et-Loire,6,Ensemble pour la République
608826,Virginie,Duby-Muller,Haute-Savoie,4,Droite Républicaine
841633,Peio,Dufau,Pyrénées-Atlantiques,6,Socialistes et apparentés
840135,Alexandre,Dufosset,Nord,18,Rassemblement National
795200,Alma,Dufour,Seine-Maritime,4,La France insoumise - Nouveau Front Populaire
841351,Emmanuel,Duplessy,Loiret,2,Écologiste et Social
